study_doc_id,document_hash_sha256,format,annex,rule_id,annex_item,finding_type,confidence,page_or_section,missing_element,matched_text,human_review_status,human_review_note
WP-007,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,html,Annex I,ANNEX_I_PART_A_04_LEI_OR_IDENTIFIER,"Annex I, Part A",potential_disclosure_gap,medium,Offeror information,legal entity identifier or other identifier,,pending_review,Pending Sebastian legal review.
WP-007,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,html,Annex I,ANNEX_I_PART_A_06_CONTACT_RESPONSE_PERIOD,"Annex I, Part A, item 6",potential_disclosure_gap,high,Contact information,period of days within which an investor will receive an answer,n. 583KB [PHONE]_[CRYPTO_ASSET]_Whitepaper_ATTR_V1_PDF.pdf PDF Download Open [ISSUER] Finance | MiCAR Whitepaper Contact [EMAIL] Scope Admission to trading only; no public offer. Key Risks The crypto-asset may lose value in part or in ful,pending_review,Pending Sebastian legal review.
WP-007,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,html,Annex I,ANNEX_I_PART_A_07_MANAGEMENT_BODY,"Annex I, Part A",potential_disclosure_gap,medium,Management body,identity and functions of the management body,,pending_review,Pending Sebastian legal review.
WP-007,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,html,Annex I,ANNEX_I_PART_A_08_CONFLICTS_OF_INTEREST,"Annex I, Part A",potential_disclosure_gap,medium,Conflicts of interest,conflicts of interest disclosure,,pending_review,Pending Sebastian legal review.
WP-007,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,html,Annex I,ANNEX_I_PART_A_09_FINANCIAL_CONDITION,"Annex I, Part A",potential_disclosure_gap,medium,Financial condition,financial condition disclosure,,pending_review,Pending Sebastian legal review.
WP-007,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,html,Annex I,ANNEX_I_PART_B_03_UTILITY_CHARACTERISTICS,"Annex I, Part B",potential_disclosure_gap,high,Utility and characteristics,"utility, characteristics, or functionality of the crypto-asset",Markdown . Copy On this page LEGAL 📜 MiCAR Whitepaper [ISSUER]. has published and notified the MiCAR crypto-asset white paper for [SYMBOL] to its home Member State (MFSA). This crypto-asset marketing communication has not bee,pending_review,Pending Sebastian legal review.
WP-007,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,html,Annex I,ARTICLE_6_05_MANDATORY_WARNINGS,Article 6,potential_disclosure_gap,medium,Mandatory warnings,loss-of-value and protection or compensation warning statements,,pending_review,Pending Sebastian legal review.
WP-007,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,html,Annex I,ARTICLE_6_06_MANAGEMENT_BODY_STATEMENT,Article 6,potential_disclosure_gap,medium,Management body statement,"management body statement that the white paper complies and is fair, clear and not misleading",,pending_review,Pending Sebastian legal review.
WP-007,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,html,Annex I,ARTICLE_6_07_SUMMARY,Article 6,potential_disclosure_gap,medium,Summary,summary of the crypto-asset white paper,,pending_review,Pending Sebastian legal review.
WP-011,4317bc308de4570efea7afd30d48737aee38e3ab02a24841ad0dc045f6a5c1b2,pdf,Annex I,ANNEX_I_PART_A_08_CONFLICTS_OF_INTEREST,"Annex I, Part A",potential_disclosure_gap,medium,Conflicts of interest,conflicts of interest disclosure,,pending_review,Pending Sebastian legal review.
WP-012,37b91e308c4ee168261e928f5ea519d3b8892fa9cb1965096638656ba95d6893,pdf,Annex I,ANNEX_I_PART_A_08_CONFLICTS_OF_INTEREST,"Annex I, Part A",potential_disclosure_gap,medium,Conflicts of interest,conflicts of interest disclosure,,pending_review,Pending Sebastian legal review.
